Date,People_Tested,People_Hospitalized,Mortality_Rate,Hospitalization_Rate,Deaths
436,21583.0,437.0,2.610159978,12.26494527,93
436,8038.0,31.0,2.9411764710000003,11.39705882,8
436,42109.0,6250.044184664157,3.246753247,12.197143557011517,115
436,19722.0,130.0,2.109375,10.15625,27
436,190328.0,5234.0,2.81202018,22.9611757,640
436,34873.0,1376.0,3.955111537,18.8312577,289
436,41220.0,1654.0,4.6032405480000005,13.74324886,554
436,11103.0,190.0,2.153846154,11.69230769,35
436,182753.0,2772.0,2.317165117,13.93314903,461
436,54453.0,2505.0,3.477353036,20.11725024,433
436,17968.0,44.0,1.803607214,8.817635271,9
436,14308.0,131.0,1.918976546,9.310589907999999,27
436,100735.0,3680.0,3.4529061960000003,17.64818722,720
436,42489.0,6250.044184664157,4.326437941,12.197143557011517,343
436,17592.0,129.0,2.583490863,8.128544423,41
436,13253.0,298.0,4.166666667,22.17261905,56
436,24567.0,459.0,4.941416200000001,23.38257769,97
436,104045.0,2084.0,4.078659869,10.11896091,840
436,6721.0,120.0,3.001579779,18.95734597,19
436,49764.0,1860.0,2.869300912,22.61398176,236
436,116730.0,2235.0,2.967615309,8.773307164,756
436,79437.0,3636.0,6.100478469,14.99752516,1479
436,37421.0,361.0,4.318322023,22.27020358,70
436,21413.0,548.0,3.451995685,19.70514204,96
436,45200.0,988.0,2.764113375,23.14359335,118
436,8913.0,47.0,1.5503875969999998,12.14470284,6
436,10691.0,6250.044184664157,2.149178255,12.197143557011517,17
436,24611.0,282.0,3.94922426,9.943582511,112
436,10925.0,146.0,2.475780409,15.71582347,23
436,126735.0,7604.0,3.799514956,12.29426031,2350
436,28692.0,78.0,2.088353414,6.2650602410000005,26
436,461601.0,42594.0,4.9647416060000005,22.53257368,9385
436,62139.0,331.0,1.947483589,7.242888402999999,89
436,10350.0,39.0,2.272727273,12.66233766,7
436,63243.0,1948.0,3.831011508,29.49727438,253
436,22760.0,446.0,4.873096447,22.63959391,96
436,29758.0,359.0,3.405370007,23.51015062,52
436,124890.0,2097.0,2.428284942,9.142035051,557
436,20350.0,201.0,2.363977486,7.542213884,63
436,31425.0,496.0,2.469879518,14.93975904,82
436,8553.0,43.0,0.8219178079999999,5.890410959,6
436,70677.0,567.0,1.924473493,10.29411765,106
436,124533.0,1338.0,2.069167215,9.782847116000001,283
436,44234.0,195.0,0.781589231,8.467216674,18
436,9841.0,34.0,3.71389271,4.6767537830000006,27
436,39985.0,751.0,2.673492605,14.23966629,141
436,93615.0,642.0,4.7695352999999985,6.051465737000001,506
436,16257.0,81.0,1.0118043840000002,13.65935919,6
436,39257.0,974.0,4.3100868,29.15294822,144
436,5459.0,40.0,0.0,14.81481481,0
439,29182.0,457.0,2.6513122656668453,12.23888591322978,99
