Province_State,Date,People_Tested,People_Hospitalized,Mortality_Rate,Hospitalization_Rate,Deaths
Alabama,436,21583.0,437.0,2.610159978,12.26494527,93
Alaska,436,8038.0,31.0,2.9411764710000003,11.39705882,8
Arizona,436,42109.0,6250.044184664157,3.246753247,12.197143557011517,115
Arkansas,436,19722.0,130.0,2.109375,10.15625,27
California,436,190328.0,5234.0,2.81202018,22.9611757,640
Colorado,436,34873.0,1376.0,3.955111537,18.8312577,289
Connecticut,436,41220.0,1654.0,4.6032405480000005,13.74324886,554
Delaware,436,11103.0,190.0,2.153846154,11.69230769,35
Florida,436,182753.0,2772.0,2.317165117,13.93314903,461
Georgia,436,54453.0,2505.0,3.477353036,20.11725024,433
Hawaii,436,17968.0,44.0,1.803607214,8.817635271,9
Idaho,436,14308.0,131.0,1.918976546,9.310589907999999,27
Illinois,436,100735.0,3680.0,3.4529061960000003,17.64818722,720
Indiana,436,42489.0,6250.044184664157,4.326437941,12.197143557011517,343
Iowa,436,17592.0,129.0,2.583490863,8.128544423,41
Kansas,436,13253.0,298.0,4.166666667,22.17261905,56
Kentucky,436,24567.0,459.0,4.941416200000001,23.38257769,97
Louisiana,436,104045.0,2084.0,4.078659869,10.11896091,840
Maine,436,6721.0,120.0,3.001579779,18.95734597,19
Maryland,436,49764.0,1860.0,2.869300912,22.61398176,236
Massachusetts,436,116730.0,2235.0,2.967615309,8.773307164,756
Michigan,436,79437.0,3636.0,6.100478469,14.99752516,1479
Minnesota,436,37421.0,361.0,4.318322023,22.27020358,70
Mississippi,436,21413.0,548.0,3.451995685,19.70514204,96
Missouri,436,45200.0,988.0,2.764113375,23.14359335,118
Montana,436,8913.0,47.0,1.5503875969999998,12.14470284,6
Nebraska,436,10691.0,6250.044184664157,2.149178255,12.197143557011517,17
Nevada,436,24611.0,282.0,3.94922426,9.943582511,112
New Hampshire,436,10925.0,146.0,2.475780409,15.71582347,23
New Jersey,436,126735.0,7604.0,3.799514956,12.29426031,2350
New Mexico,436,28692.0,78.0,2.088353414,6.2650602410000005,26
New York,436,461601.0,42594.0,4.9647416060000005,22.53257368,9385
North Carolina,436,62139.0,331.0,1.947483589,7.242888402999999,89
North Dakota,436,10350.0,39.0,2.272727273,12.66233766,7
Ohio,436,63243.0,1948.0,3.831011508,29.49727438,253
Oklahoma,436,22760.0,446.0,4.873096447,22.63959391,96
Oregon,436,29758.0,359.0,3.405370007,23.51015062,52
Pennsylvania,436,124890.0,2097.0,2.428284942,9.142035051,557
Rhode Island,436,20350.0,201.0,2.363977486,7.542213884,63
South Carolina,436,31425.0,496.0,2.469879518,14.93975904,82
South Dakota,436,8553.0,43.0,0.8219178079999999,5.890410959,6
Tennessee,436,70677.0,567.0,1.924473493,10.29411765,106
Texas,436,124533.0,1338.0,2.069167215,9.782847116000001,283
Utah,436,44234.0,195.0,0.781589231,8.467216674,18
Vermont,436,9841.0,34.0,3.71389271,4.6767537830000006,27
Virginia,436,39985.0,751.0,2.673492605,14.23966629,141
Washington,436,93615.0,642.0,4.7695352999999985,6.051465737000001,506
West Virginia,436,16257.0,81.0,1.0118043840000002,13.65935919,6
Wisconsin,436,39257.0,974.0,4.3100868,29.15294822,144
Wyoming,436,5459.0,40.0,0.0,14.81481481,0
Alabama,439,29182.0,457.0,2.6513122656668453,12.23888591322978,99
Alaska,439,7830.0,32.0,2.888086642599278,11.552346570397113,8
Arizona,439,43347.0,525.0,3.292847503373819,14.170040485829961,122
Arkansas,439,20804.0,130.0,2.0567375886524824,9.21985815602837,29
California,439,190882.0,3015.0,2.9877564665078773,12.59872132380594,714
Colorado,439,37534.0,1472.0,3.9786763749837473,19.139253673124433,306
Connecticut,439,44309.0,1760.0,4.498916373963082,13.152978103280773,602
Delaware,439,11820.0,201.0,2.3321956769055747,11.433447098976107,41
Florida,439,196207.0,2833.0,0.405628398865216,2.302896300571456,499
Georgia,439,57021.0,2589.0,3.492301915133308,19.44423582425836,465
Hawaii,439,18844.0,44.0,1.7857142857142858,8.730158730158731,9
Idaho,439,14881.0,132.0,1.8934081346423561,9.256661991584851,27
Illinois,439,105768.0,3680.0,3.623155505107832,16.708286038592508,798
Indiana,439,44539.0,6250.044184664157,4.187103720540734,12.197143557011517,350
Iowa,439,18696.0,142.0,2.3976608187134505,8.304093567251464,41
Kansas,439,13864.0,309.0,4.460431654676259,22.230215827338128,62
Kentucky,439,25866.0,667.0,5.599603567888999,33.052527254707634,113
Louisiana,439,108091.0,2134.0,4.206318995051388,10.154168252759805,884
Maine,439,12306.0,124.0,2.7220630372492844,17.76504297994269,19
Maryland,439,51751.0,1975.0,2.9319606087735006,22.10161145926589,262
Massachusetts,439,122049.0,2340.0,3.1414002307663678,8.709569360181638,844
Michigan,439,82644.0,3986.0,6.249268578115858,15.549054027696506,1602
Minnesota,439,38427.0,361.0,4.318322023442319,22.27020357803825,70
Mississippi,439,30984.0,549.0,3.3310673011556764,18.66077498300476,98
Missouri,439,45428.0,988.0,2.7242524916943522,21.882613510520486,123
Montana,439,9098.0,47.0,1.7766497461928934,11.928934010152284,7
Nebraska,439,10972.0,6250.044184664157,2.0884520884520885,12.197143557011517,17
Nevada,439,25464.0,6250.044184664157,3.812709030100335,12.197143557011517,114
New Hampshire,439,11207.0,152.0,2.33502538071066,15.431472081218276,23
New Jersey,439,129469.0,7781.0,3.7826706304967175,12.047875634832153,2443
New Mexico,439,30515.0,80.0,2.060221870047544,6.3391442155309035,26
New York,439,478357.0,42712.0,5.138212711176047,21.819779411389074,10058
North Carolina,439,63388.0,313.0,1.9238641015145312,6.406058125255831,94
North Dakota,439,10781.0,40.0,2.416918429003021,12.084592145015106,8
Ohio,439,65112.0,2033.0,3.92831541218638,29.14695340501792,274
Oklahoma,439,22859.0,457.0,4.784920251329145,22.087965200579987,99
Oregon,439,31121.0,369.0,3.345959595959596,23.29545454545455,53
Pennsylvania,439,129792.0,2243.0,2.4246665568911574,9.233492507821506,589
Rhode Island,439,20661.0,331.0,2.363977485928705,12.420262664165106,63
South Carolina,439,31425.0,496.0,2.4181657328221764,14.626953700973164,82
South Dakota,439,9002.0,44.0,0.6912442396313364,5.0691244239631335,6
Tennessee,439,76195.0,579.0,1.9429590017825311,10.320855614973262,109
Texas,439,133226.0,1176.0,2.136602451838879,8.238178633975481,305
Utah,439,45787.0,201.0,0.5501481168006771,8.506136267456624,13
Vermont,439,10366.0,33.0,3.7433155080213902,4.411764705882354,28
Virginia,439,41401.0,1238.0,2.592657038454846,21.541673916826173,149
Washington,439,93802.0,527.0,4.823695345557122,4.955336154207805,513
West Virginia,439,16655.0,164.0,1.3093289689034369,26.84124386252045,8
Wisconsin,439,40197.0,993.0,4.492415402567095,28.96732788798133,154
Wyoming,439,5964.0,41.0,0.3636363636363637,14.909090909090908,1
Alabama,442,33117.0,493.0,2.8838856560000004,12.4715406,114
Alaska,442,8348.0,32.0,3.157894737,11.22807018,9
Arizona,442,44096.0,580.0,3.439222893,15.22709373,131
Arkansas,442,21131.0,130.0,2.136181575,8.67823765,32
California,442,202208.0,5163.0,3.028868907,20.36204449,767
